Employee_ID,Job_ID,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPayBenefits,Year
122,33,122594,79721.87,15646.15,Not Provided,217962.02,217962.02,2011
123,39,188889.44,0,28921.31,Not Provided,217810.75,217810.75,2011
124,35,88062,126725.82,2784.61,Not Provided,217572.43,217572.43,2011
125,2,185369.68,27321.83,4651.44,Not Provided,217342.95,217342.95,2011
126,27,192170.93,11260.27,13712.8,Not Provided,217144,217144,2011
127,6,168692.63,22432.91,25855.73,Not Provided,216981.27,216981.27,2011
128,15,140546.85,58354.29,17823.03,Not Provided,216724.17,216724.17,2011
129,25,123105,77259.53,16054.2,Not Provided,216418.73,216418.73,2011
130,31,158603.68,0,57667.12,Not Provided,216270.8,216270.8,2011
131,15,141648.87,43574.57,30952.65,Not Provided,216176.09,216176.09,2011
132,44,215799.48,0,0,Not Provided,215799.48,215799.48,2011
133,21,149044.93,4836.87,61531.43,Not Provided,215413.23,215413.23,2011
134,6,166203.84,28448.6,20744.06,Not Provided,215396.5,215396.5,2011
135,25,123416.25,66447.73,25491.13,Not Provided,215355.11,215355.11,2011
136,45,182368.79,0,32949.41,Not Provided,215318.2,215318.2,2011
137,42,215180.75,0,0,Not Provided,215180.75,215180.75,2011
138,46,213907.72,0,1080.96,Not Provided,214988.68,214988.68,2011
139,46,213907.72,0,1080.96,Not Provided,214988.68,214988.68,2011
140,46,213907.72,0,1080.96,Not Provided,214988.68,214988.68,2011
141,25,123105,74266.87,17583.73,Not Provided,214955.6,214955.6,2011
142,47,130481.53,2433.29,82029.92,Not Provided,214944.74,214944.74,2011
143,22,105934.63,96611.56,12306.26,Not Provided,214852.45,214852.45,2011
144,12,206438.88,0,8377.03,Not Provided,214815.91,214815.91,2011
145,13,140546.63,53209.03,20429.43,Not Provided,214185.09,214185.09,2011
146,39,183040,0,31116.8,Not Provided,214156.8,214156.8,2011
147,22,105934.69,90329.62,17596.3,Not Provided,213860.61,213860.61,2011
148,32,167070.08,0,46665.54,Not Provided,213735.62,213735.62,2011
149,39,183040,0,30619.46,Not Provided,213659.46,213659.46,2011
150,22,105934.64,89485.44,18117.8,Not Provided,213537.88,213537.88,2011
151,6,181502.08,0,31449.4,Not Provided,212951.48,212951.48,2011
152,6,173842.63,1210.13,37804.9,Not Provided,212857.66,212857.66,2011
153,13,140546.88,54054.41,18236.44,Not Provided,212837.73,212837.73,2011
154,48,86840,112320.96,13544.56,Not Provided,212705.52,212705.52,2011
155,21,149050.69,57364.23,6235.28,Not Provided,212650.2,212650.2,2011
156,47,82235.56,43352.6,86590.93,Not Provided,212179.09,212179.09,2011
157,12,182134.81,18574.4,11000.84,Not Provided,211710.05,211710.05,2011
158,12,198778,0,12818.24,Not Provided,211596.24,211596.24,2011
159,38,210821.61,0,0,Not Provided,210821.61,210821.61,2011
160,35,88062,111199.78,11373.58,Not Provided,210635.36,210635.36,2011
161,33,122404.98,72836.43,15336.91,Not Provided,210578.32,210578.32,2011
162,37,207501.2,0,2903.37,Not Provided,210404.57,210404.57,2011
163,47,130457.96,6284.61,73334.31,Not Provided,210076.88,210076.88,2011
164,33,116603.33,78532.26,14753.88,Not Provided,209889.47,209889.47,2011
165,22,105934.67,87642.33,16228.64,Not Provided,209805.64,209805.64,2011
166,35,90094.2,111323.49,8344.75,Not Provided,209762.44,209762.44,2011
167,22,105934.65,89773.95,14007.96,Not Provided,209716.56,209716.56,2011
168,49,161044,4599.05,43997.82,Not Provided,209640.87,209640.87,2011
169,18,130481.56,45597.19,33307.68,Not Provided,209386.43,209386.43,2011
170,25,123105.02,67899.46,18300.05,Not Provided,209304.53,209304.53,2011
171,47,130457.88,47342.41,31413.52,Not Provided,209213.81,209213.81,2011
172,15,60373.82,25046.44,123649.73,Not Provided,209069.99,209069.99,2011
173,25,135651.04,56307.38,17085.77,Not Provided,209044.19,209044.19,2011
174,50,77580.4,115239.98,16089.38,Not Provided,208909.76,208909.76,2011
175,25,133769.86,56093.64,18879.06,Not Provided,208742.56,208742.56,2011
176,32,175345.85,0,33357.87,Not Provided,208703.72,208703.72,2011
177,37,200385.64,0,8000,Not Provided,208385.64,208385.64,2011
178,33,122405,68861.18,17071.3,Not Provided,208337.48,208337.48,2011
179,51,208243.12,0,0,Not Provided,208243.12,208243.12,2011
180,50,77580.36,119407.7,11220.57,Not Provided,208208.63,208208.63,2011
181,52,140546.85,47122.83,20353.22,Not Provided,208022.9,208022.9,2011
182,37,207874.94,0,0,Not Provided,207874.94,207874.94,2011
183,27,189853.68,7060.31,10941.53,Not Provided,207855.52,207855.52,2011
184,6,63878.03,24586.55,119351.05,Not Provided,207815.63,207815.63,2011
185,37,207798.79,0,0,Not Provided,207798.79,207798.79,2011
186,23,177528,0,30179.76,Not Provided,207707.76,207707.76,2011
187,31,158603.6,2605.95,46493.65,Not Provided,207703.2,207703.2,2011
188,44,207699.73,0,0,Not Provided,207699.73,207699.73,2011
189,32,173937.49,0,33362.65,Not Provided,207300.14,207300.14,2011
190,47,130434.29,47465.62,29377.94,Not Provided,207277.85,207277.85,2011
191,23,178526.48,0,28694.26,Not Provided,207220.74,207220.74,2011
192,18,130457.96,43329.66,33299.41,Not Provided,207087.03,207087.03,2011
193,15,140546.87,47465.92,18963.02,Not Provided,206975.81,206975.81,2011
194,32,174597.67,0,32202.61,Not Provided,206800.28,206800.28,2011
195,22,105934.66,84172.44,16662.29,Not Provided,206769.39,206769.39,2011
196,53,206752,0,0,Not Provided,206752,206752,2011
197,54,187237.53,743.34,18723.76,Not Provided,206704.63,206704.63,2011
198,22,105934.67,82170.36,18597.33,Not Provided,206702.36,206702.36,2011
199,27,190352.67,4455.28,11712.14,Not Provided,206520.09,206520.09,2011
200,22,105934.66,85454.77,14971.71,Not Provided,206361.14,206361.14,2011
201,22,105934.67,71960.12,28447.45,Not Provided,206342.24,206342.24,2011
202,15,127203,53146.41,25508.48,Not Provided,205857.89,205857.89,2011
203,49,165996.75,8054.01,31660.13,Not Provided,205710.89,205710.89,2011
204,22,105934.7,82132.06,17637.54,Not Provided,205704.3,205704.3,2011
205,37,205609.58,0,0,Not Provided,205609.58,205609.58,2011
206,47,130434.23,4461.66,70568.42,Not Provided,205464.31,205464.31,2011
207,33,124894,65886.39,14410.33,Not Provided,205190.72,205190.72,2011
208,18,130466.56,43708.28,30690.37,Not Provided,204865.21,204865.21,2011
209,6,25400,37100.14,142094.49,Not Provided,204594.63,204594.63,2011
210,6,149362.85,20253.61,34958.63,Not Provided,204575.09,204575.09,2011
211,2,188341.62,0,16206.24,Not Provided,204547.86,204547.86,2011
212,15,176371.35,7654,20392.43,Not Provided,204417.78,204417.78,2011
213,22,105934.65,82384.96,15962.27,Not Provided,204281.88,204281.88,2011
214,2,188348.55,5720.22,10173.43,Not Provided,204242.2,204242.2,2011
215,25,122820.36,66083.91,15329.64,Not Provided,204233.91,204233.91,2011
216,35,89078.11,114105.85,773.7,Not Provided,203957.66,203957.66,2011
217,22,105934.65,86551.38,11374.31,Not Provided,203860.34,203860.34,2011
218,33,122405,65829.32,15551.54,Not Provided,203785.86,203785.86,2011
219,37,203450,0,0,Not Provided,203450,203450,2011
220,39,184914.8,0,18491.47,Not Provided,203406.27,203406.27,2011
221,22,105934.66,76867.18,20458.49,Not Provided,203260.33,203260.33,2011
222,55,111770,61316.86,30020.72,Not Provided,203107.58,203107.58,2011
223,5,109667.03,13707.84,79648.18,Not Provided,203023.05,203023.05,2011
224,56,63625.16,41441.44,97799.84,Not Provided,202866.44,202866.44,2011
225,2,188341.6,2258.63,12252.44,Not Provided,202852.67,202852.67,2011
226,33,122418.3,64862.06,15443.68,Not Provided,202724.04,202724.04,2011
227,22,105934.64,79964.69,16824.25,Not Provided,202723.58,202723.58,2011
228,57,110242.81,16939.01,75533.1,Not Provided,202714.92,202714.92,2011
229,5,183500.8,0,18933.1,Not Provided,202433.9,202433.9,2011
230,44,202426.74,0,0,Not Provided,202426.74,202426.74,2011
231,48,86840,102118.8,13390.01,Not Provided,202348.81,202348.81,2011
232,33,139580.96,33418.92,29333.37,Not Provided,202333.25,202333.25,2011
233,25,123105,63856.44,15365.21,Not Provided,202326.65,202326.65,2011
234,25,123105,56654.78,22564.64,Not Provided,202324.42,202324.42,2011
235,22,110638.66,65587.13,26005.7,Not Provided,202231.49,202231.49,2011
236,39,172916.55,0,29240.55,Not Provided,202157.1,202157.1,2011
237,33,122404.99,65069.19,14539,Not Provided,202013.18,202013.18,2011
238,33,122404.99,72093.79,7497.84,Not Provided,201996.62,201996.62,2011
239,2,188341.64,1109.1,12252.7,Not Provided,201703.44,201703.44,2011
240,2,188341.62,1068.45,12211.62,Not Provided,201621.69,201621.69,2011
241,15,127886.02,57579.25,16112.43,Not Provided,201577.7,201577.7,2011
242,21,149044.63,46800.24,5506.27,Not Provided,201351.14,201351.14,2011
243,23,183040,0,18304,Not Provided,201344,201344,2011
244,40,112441.8,17715.27,71120.05,Not Provided,201277.12,201277.12,2011
245,39,177343.5,0,23901.42,Not Provided,201244.92,201244.92,2011
246,31,158603.6,3242.47,39271.71,Not Provided,201117.78,201117.78,2011
247,49,171236.03,0,29584.32,Not Provided,200820.35,200820.35,2011
248,2,196061.3,0,4749.91,Not Provided,200811.21,200811.21,2011
249,33,122404.99,71862.8,6407.34,Not Provided,200675.13,200675.13,2011
250,44,200515.38,0,0,Not Provided,200515.38,200515.38,2011
251,27,187094.56,2341.63,11051.55,Not Provided,200487.74,200487.74,2011
252,2,188341.61,0,12119.4,Not Provided,200461.01,200461.01,2011
253,2,188341.6,0,12119.37,Not Provided,200460.97,200460.97,2011
254,22,105934.65,76726.73,17713.43,Not Provided,200374.81,200374.81,2011
255,49,171236.02,0,29110.14,Not Provided,200346.16,200346.16,2011
256,32,169197.16,0,31139.57,Not Provided,200336.73,200336.73,2011
257,2,188341.84,1134.34,10799.25,Not Provided,200275.43,200275.43,2011
258,58,123214.31,4729.13,72242.52,Not Provided,200185.96,200185.96,2011
259,15,140546.9,33196.91,26432.87,Not Provided,200176.68,200176.68,2011
260,15,140441.9,41438.62,18050.61,Not Provided,199931.13,199931.13,2011
261,2,188314.54,0,11547.94,Not Provided,199862.48,199862.48,2011
262,59,199765.74,0,0,Not Provided,199765.74,199765.74,2011
263,40,112421.46,14978.42,72362.09,Not Provided,199761.97,199761.97,2011
264,60,184386.79,0,15366.99,Not Provided,199753.78,199753.78,2011
265,39,172198,0,27521.88,Not Provided,199719.88,199719.88,2011
266,61,85624.87,66164.73,47839.37,Not Provided,199628.97,199628.97,2011
267,25,123105.02,64525.66,11909.38,Not Provided,199540.06,199540.06,2011
268,25,123105.05,59699.72,16693.53,Not Provided,199498.3,199498.3,2011
269,32,173453.3,0,26017.99,Not Provided,199471.29,199471.29,2011
270,22,105934.66,75817.75,17540.56,Not Provided,199292.97,199292.97,2011
271,40,112401.06,45977.26,40829.52,Not Provided,199207.84,199207.84,2011
272,22,105934.65,76012.89,17180.05,Not Provided,199127.59,199127.59,2011
273,35,88400.7,107913.65,2713.83,Not Provided,199028.18,199028.18,2011
274,2,188341.6,0,10542.72,Not Provided,198884.32,198884.32,2011
275,22,105934.66,73625.33,19217.48,Not Provided,198777.47,198777.47,2011
276,50,77580.41,113729.55,7308.25,Not Provided,198618.21,198618.21,2011
277,2,188341.6,0,10125.04,Not Provided,198466.64,198466.64,2011
278,36,126968.08,1706.08,69787.98,Not Provided,198462.14,198462.14,2011
279,22,105934.66,70730.5,21611.32,Not Provided,198276.48,198276.48,2011
280,33,122404.96,60981.91,14860.06,Not Provided,198246.93,198246.93,2011
281,33,122404.98,67825.92,7933.55,Not Provided,198164.45,198164.45,2011
282,62,198027.44,0,0,Not Provided,198027.44,198027.44,2011
283,25,123105.02,67514.41,7386.3,Not Provided,198005.73,198005.73,2011
284,2,188341.62,2886.03,6646.21,Not Provided,197873.86,197873.86,2011
285,21,149044.41,35620.45,13162.31,Not Provided,197827.17,197827.17,2011
286,35,89930.37,104568.19,3312.11,Not Provided,197810.67,197810.67,2011
287,42,185724.5,0,12000,Not Provided,197724.5,197724.5,2011
288,25,128569.01,49853.04,19031.08,Not Provided,197453.13,197453.13,2011
289,18,130466.59,44651.56,22315.92,Not Provided,197434.07,197434.07,2011
290,18,130481.57,39489.61,27451.83,Not Provided,197423.01,197423.01,2011
291,39,190243.46,0,7105.58,Not Provided,197349.04,197349.04,2011
292,43,192379.6,0,4891,Not Provided,197270.6,197270.6,2011
293,63,197233.84,0,0,Not Provided,197233.84,197233.84,2011
294,22,105934.65,68438.92,22759.89,Not Provided,197133.46,197133.46,2011
295,22,113695.71,69419.29,14017.12,Not Provided,197132.12,197132.12,2011
296,2,195975.32,0,917.32,Not Provided,196892.64,196892.64,2011
297,49,171071.36,7606.83,18210.2,Not Provided,196888.39,196888.39,2011
298,53,196886.55,0,0,Not Provided,196886.55,196886.55,2011
299,53,196886.55,0,0,Not Provided,196886.55,196886.55,2011
300,22,105934.65,73178.82,17569.48,Not Provided,196682.95,196682.95,2011
301,22,108947.02,61158.6,26499.88,Not Provided,196605.5,196605.5,2011
302,40,112441.79,15338.11,68766.28,Not Provided,196546.18,196546.18,2011
303,2,194566.01,1109.1,819.03,Not Provided,196494.14,196494.14,2011
304,49,161044,0,35429.68,Not Provided,196473.68,196473.68,2011
305,19,99000,85978.1,11408.55,Not Provided,196386.65,196386.65,2011
306,64,196377.99,0,0,Not Provided,196377.99,196377.99,2011
307,22,105934.63,72451.83,17837.79,Not Provided,196224.25,196224.25,2011
308,40,112401.07,23572.29,60183.94,Not Provided,196157.3,196157.3,2011
309,25,123105.03,50298.75,22721.82,Not Provided,196125.6,196125.6,2011
310,50,78949.19,102454.79,14718.05,Not Provided,196122.03,196122.03,2011
311,25,123105,58270.63,14738.61,Not Provided,196114.24,196114.24,2011
312,6,168692.65,0,27291.01,Not Provided,195983.66,195983.66,2011
313,43,184805.62,0,11124,Not Provided,195929.62,195929.62,2011
314,15,140546.89,31841.33,23479.99,Not Provided,195868.21,195868.21,2011
315,42,185724.5,0,10000,Not Provided,195724.5,195724.5,2011
316,38,195256.1,0,408,Not Provided,195664.1,195664.1,2011
317,22,105934.64,72308.94,17411.01,Not Provided,195654.59,195654.59,2011
318,15,140546.88,37549.62,17542.28,Not Provided,195638.78,195638.78,2011
319,2,188314.5,0,7310.63,Not Provided,195625.13,195625.13,2011
320,22,105934.66,73298.91,16278.33,Not Provided,195511.9,195511.9,2011
321,27,189841.6,444.6,5213.4,Not Provided,195499.6,195499.6,2011
322,35,86410.84,101652.14,7436.03,Not Provided,195499.01,195499.01,2011
323,22,105934.69,73130.52,16406.95,Not Provided,195472.16,195472.16,2011
324,25,123104.99,48977.36,23341.17,Not Provided,195423.52,195423.52,2011
325,22,105934.64,69602.62,19832.9,Not Provided,195370.16,195370.16,2011
326,47,135339.78,16309.92,43704.98,Not Provided,195354.68,195354.68,2011
327,6,168713.21,12663.63,13913.92,Not Provided,195290.76,195290.76,2011
328,49,171236,0,24038.9,Not Provided,195274.9,195274.9,2011
329,25,137709.85,44327.76,13194.76,Not Provided,195232.37,195232.37,2011
330,22,105934.65,71448.55,17839.48,Not Provided,195222.68,195222.68,2011
331,42,195121.53,0,0,Not Provided,195121.53,195121.53,2011
332,65,126857.54,34841.75,33361.56,Not Provided,195060.85,195060.85,2011
333,66,194980.11,0,0,Not Provided,194980.11,194980.11,2011
334,66,194980.1,0,0,Not Provided,194980.1,194980.1,2011
335,66,194980.09,0,0,Not Provided,194980.09,194980.09,2011
336,13,140370.59,45903.66,8609.1,Not Provided,194883.35,194883.35,2011
337,43,192379.6,0,2484,Not Provided,194863.6,194863.6,2011
338,47,130481.52,25861.6,38477.41,Not Provided,194820.53,194820.53,2011
339,31,145835.82,12062.79,36872.29,Not Provided,194770.9,194770.9,2011
340,25,113021.59,58660.17,23043.77,Not Provided,194725.53,194725.53,2011
341,47,130481.55,14379.84,49657.86,Not Provided,194519.25,194519.25,2011
342,22,105934.66,71373.32,16994.89,Not Provided,194302.87,194302.87,2011
343,43,180356.1,0,13932,Not Provided,194288.1,194288.1,2011
344,15,140546.88,20673.41,33033.7,Not Provided,194253.99,194253.99,2011
345,22,105934.69,70312.13,17938.07,Not Provided,194184.89,194184.89,2011
346,60,180612.83,0,13566.18,Not Provided,194179.01,194179.01,2011
347,67,179860.39,0,14216.14,Not Provided,194076.53,194076.53,2011
348,2,188341.62,1131.28,4586.65,Not Provided,194059.55,194059.55,2011
349,22,105934.65,71837.3,16158.29,Not Provided,193930.24,193930.24,2011
350,43,189350,0,4567,Not Provided,193917,193917,2011
351,21,153932.54,21953.42,18028.73,Not Provided,193914.69,193914.69,2011
352,68,132224.22,40592.45,21086.11,Not Provided,193902.78,193902.78,2011
353,40,112421.46,16452.52,64972.13,Not Provided,193846.11,193846.11,2011
354,39,129148.5,0,64687.4,Not Provided,193835.9,193835.9,2011
355,22,104073.4,73036.51,16725.49,Not Provided,193835.4,193835.4,2011
356,22,105934.64,67825.38,19907.17,Not Provided,193667.19,193667.19,2011
357,22,105934.68,70824.16,16879.59,Not Provided,193638.43,193638.43,2011
358,33,122404.97,55004.96,16199.59,Not Provided,193609.52,193609.52,2011
93,25,123104.98,54870.85,15365.22,Not Provided,193341.05,193341.05,2011
359,31,158603.62,0,34724.71,Not Provided,193328.33,193328.33,2011
360,39,183040,0,10250.24,Not Provided,193290.24,193290.24,2011
361,40,112441.83,14869.56,65955.32,Not Provided,193266.71,193266.71,2011
362,49,164711,0,28384.07,Not Provided,193095.07,193095.07,2011
363,48,86840,94362.36,11849.25,Not Provided,193051.61,193051.61,2011
364,22,105934.64,69005.06,18041.28,Not Provided,192980.98,192980.98,2011
365,2,188341.62,0,4609.75,Not Provided,192951.37,192951.37,2011
366,2,188341.64,0,4586.67,Not Provided,192928.31,192928.31,2011
367,2,188341.62,0,4586.66,Not Provided,192928.28,192928.28,2011
368,2,188341.6,0,4586.63,Not Provided,192928.23,192928.23,2011
369,2,188328.08,0,4586.42,Not Provided,192914.5,192914.5,2011
370,2,185342.48,3627.67,3936.6,Not Provided,192906.75,192906.75,2011
371,21,78918,38068.59,75792.63,Not Provided,192779.22,192779.22,2011
372,60,192007.49,0,760.4,Not Provided,192767.89,192767.89,2011
373,69,102990.88,85752.59,3961.68,Not Provided,192705.15,192705.15,2011
374,15,76424.2,0,116244.66,Not Provided,192668.86,192668.86,2011
375,12,182135.01,9688.59,841.15,Not Provided,192664.75,192664.75,2011
376,18,130466.61,30544.79,31574.4,Not Provided,192585.8,192585.8,2011
377,25,127203.03,47341.24,17982.25,Not Provided,192526.52,192526.52,2011
378,22,105934.68,64725.94,21761.55,Not Provided,192422.17,192422.17,2011
379,43,192379.6,0,0,Not Provided,192379.6,192379.6,2011
380,43,192379.6,0,0,Not Provided,192379.6,192379.6,2011
